robert: robert 
firing: firings firing 
several: several 
white: white 
house: house 
aide: aides 
republican: republicans 
rejected: rejected 
idea: idea 
legal: legal 
process: process 
working: working 
let: let 
work: work 
said: said 
south: south 
carolina: carolina 
senator: senators senator 
lindsey: lindsey 
graham: graham 
ditch: ditch 
something: something 
happens: happens 
november: november 
surfaced: surfaced 
gathered: gathered 
enough: enough 
bring: bring 
national: nationals national 
security: security 
michael: michael 
flynn: flynn 
son: son 
according: according 
report: reports report 
investigator: investigators 
examining: examining 
well: well 
involvement: involvement 
attempt: attempts 
arrange: arrange 
removal: removal 
opponent: opponent 
turkish: turkish 
recep: recep 
erdogan: erdogan 
home: home 
send: send 
back: back 
turkey: turkey 
afterward: afterward 
wall: wall 
street: street 
journal: journal 
issued: issued 
subpoena: subpoena subpoenas 
dozen: dozen 
move: move 
caught: caught 
guard: guard 
none: none 
received: received 
compelled: compelled 
testify: testify 
plea: plea 
deal: deal 
increased: increased 
pressure: pressure 
december: december 
conversation: conversations 
ambassador: ambassador 
formally: formally 
additionally: additionally 
instruction: instructions 
x: x 
c: c 
senior: senior 
member: member members 
transition: transition 
seemingly: seemingly 
closer: closer 
inner: inner 
circle: circle 
accusation: accusations 
biased: biased 
agent: agents 
assigned: assigned 
probe: probe 
shared: shared 
text: texts text 
message: messages 
mocked: mocked 
insulted: insulted 
made: made 
available: available 
lawmaker: lawmakers 
prompted: prompted 
call: calls 
either: either 
revamp: revamp 
investigative: investigative 
step: step 
letter: letter 
lawyer: lawyer 
accused: accused 
illegally: illegally 
obtaining: obtaining 
using: using 
email: emails 
generated: generated 
heightened: heightened 
tension: tension 
fueled: fueled 
speculation: speculation 
would: would 
find: find 
way: way 
dismissed: dismissed 
spokespeople: spokespeople 
remained: remained 
publicly: publicly 
committed: committed 
cooperating: cooperating 
complication: complications 
arose: arose 
january: january 
filed: filed 
lawsuit: lawsuit 
alleging: alleging 
overstepped: overstepped 
bound: bounds bound 
charging: charging 
conduct: conduct 
unrelated: unrelated 
breaching: breaching 
start: start 
seemed: seemed 
zeroing: zeroing 
mid: mid 
interviewed: interviewed 
jeff: jeff 
session: sessions 
cabinet: cabinet 
submit: submit 
questioning: questioning 
washington: washington 
reported: reported 
aiming: aiming 
sit: sit 
coming: coming 
inquire: inquire 
decision: decisions decision 
dismiss: dismiss 
expressed: expressed 
willingness: willingness 
clear: clear 
looking: looking 
forward: forward 
actually: actually 
sought: sought 
fired: fired 
previous: previous 
june: june 
backing: backing 
f: f 
mcgahn: mcgahn 
threatened: threatened 
protest: protest 
result: result 
democratic: democratic 
leader: leaders 
congress: congress 
pas: pass 
legislation: legislation 
protect: protect 
read: read 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
indictment: indictment 
announced: announced 
three: three 
entity: entities 
interfering: interfering 
conspiracy: conspiracy 
defraud: defraud 
defendant: defendants 
allegedly: allegedly 
created: created 
false: false 
persona: personas 
operated: operated 
social: social 
medium: media 
group: groups group 
attract: attract 
american: american 
audience: audiences 
strategic: strategic 
sow: sow 
discord: discord 
political: political 
system: system 
notable: notable 
allegation: allegations 
knowingly: knowingly 
participated: participated 
outcome: outcome 
vindication: vindication 
released: released 
statement: statement statements 
glad: glad 
see: see 
indicates: indicates 
collusion: collusion 
changed: changed 
affected: affected 
march: march 
gathering: gathering 
show: show 
meeting: meeting 
seychelles: seychelles 
inauguration: inauguration 
effort: effort efforts 
establish: establish 
channel: channel 
company: company 
founder: founder 
erik: erik 
prince: prince 
supposedly: supposedly 
chance: chance 
encounter: encounter 
businessman: businessman 
contradicted: contradicted 
claim: claim 
testimony: testimony 
saying: saying 
deliberately: deliberately 
forge: forge 
line: line 
communication: communication 
kremlin: kremlin 
around: around 
time: time times 
muller: muller 
subpoenaed: subpoenaed 
organization: organization 
turn: turn 
document: documents 
pertained: pertained 
speculated: speculated 
broadening: broadening 
inquiry: inquiry 
fund: fund 
interest: interests interest 
sentencing: sentencing 
dutch: dutch 
alex: alex 
van: van 
der: der 
zwaan: zwaan 
person: person 
face: face 
punishment: punishment 
drawing: drawing 
prison: prison 
sentence: sentence 
fine: fine 
lied: lied 
individual: individual individuals 
intelligence: intelligence 
meanwhile: meanwhile 
informed: informed 
considered: considered 
target: target 
continued: continued 
pursuing: pursuing 
interview: interview 
considering: considering 
issuing: issuing 
finding: findings 
stage: stages 
focused: focused 
action: actions 
whether: whether 
obstruct: obstruct 
executed: executed 
search: search 
warrant: warrants 
manhattan: manhattan 
hotel: hotel 
room: room 
cohen: cohen 
believed: believed 
referral: referral 
rod: rod 
rosenstein: rosenstein 
appointed: appointed 
shut: shut 
learning: learning 
round: round 
inaccurate: inaccurate 
rattled: rattled 
prompting: prompting 
bi: bi 
partisan: partisan 
cobble: cobble 
together: together 
give: give 
window: window 
could: could 
seek: seek 
expedited: expedited 
judicial: judicial 
dismissal: dismissal 
obtained: obtained 
published: published 
list: list 
question: questions question 
submitted: submitted 
hoped: hoped 
answered: answered 
approximately: approximately 
covered: covered 
array: array 
topic: topics 
profile: profile 
infamous: infamous 
tower: tower 
promised: promised 
dirt: dirt 
hillary: hillary 
clinton: clinton 
interaction: interactions 
trial: trials trial 
claiming: claiming 
honcho: honcho 
attempting: attempting 
tamper: tamper 
witness: witness 
held: held 
resulted: resulted 
conviction: conviction 
eight: eight 
second: second 
scheduled: scheduled 
begin: begin 
reduced: reduced 
agreed: agreed 
cooperate: cooperate 
court: court 
order: order 
claimed: claimed 
violated: violated 
repeatedly: repeatedly 
judge: judge 
ruling: ruling 
longer: longer 
separate: separate 
hearing: hearings 
wound: wound 
combined: combined 
behind: behind 
bar: bars 
closing: closing 
roger: roger 
stone: stone 
man: man 
andrew: andrew 
miller: miller 
worked: worked 
marked: marked 
third: third 
called: called 
suggesting: suggesting 
particular: particular 
relationship: relationship 
contested: contested 
ground: grounds 
illegitimate: illegitimate 
challenge: challenge 
reeled: reeled 
wanted: wanted 
included: included 
obstruction: obstruction 
proceeding: proceeding 
making: making 
tampering: tampering 
completed: completed 
came: came 
close: close 
confidential: confidential 
william: william 
barr: barr 
democrat: democrats 
immediate: immediate 
release: release 
transparency: transparency 
suggested: suggested 
brief: brief 
congressional: congressional 
principal: principal 
within: within 
ranking: ranking 
judiciary: judiciary 
committee: committee committees 
outlined: outlined 
summarized: summarized 
scope: scope 
found: found 
coordinated: coordinated 
influence: influence 
major: major 
victory: victory 
supporter: supporters 
devoted: devoted 
section: section 
obstructed: obstructed 
declined: declined 
deliver: deliver 
prosecutorial: prosecutorial 
judgment: judgment 
matter: matter 
writing: writing 
conclude: conclude 
exonerate: exonerate 
hand: hands 
wrote: wrote 
conferred: conferred 
ultimately: ultimately 
determined: determined 
offense: offense 
information: information 
redacted: redacted 
form: form 
determination: determination 
expected: expected 
benefit: benefit 
electorally: electorally 
stolen: stolen 
reasoning: reasoning 
via: via 
create: create 
lengthy: lengthy 
delay: delay 
showed: showed 
aware: aware 
fire: fire 
limit: limit 
sparked: sparked 
louder: louder 
outcry: outcry 
felt: felt 
significant: significant 
especially: especially 
unhappy: unhappy 
summary: summary 
tough: tough 
handling: handling 
getting: getting 
delivering: delivering 
late: late 
reiterated: reiterated 
confident: confident 
commit: commit 
added: added 
constrained: constrained 
rule: rules 
prohibit: prohibit 
sitting: sitting 
intend: intend 
appear: appear 
stating: stating 
reversed: reversed 
course: course 
passed: passed 
without: without 
bombshell: bombshell 
often: often 
referred: referred 
simply: simply 
refused: refused 
elaborate: elaborate 
answer: answers 
speaking: speaking 
haltingly: haltingly 
requiring: requiring 
repeated: repeated 
nevertheless: nevertheless 
provided: provided 
ammunition: ammunition 
agreeing: agreeing 
always: always 
truthful: truthful 
written: written 
response: responses 
pushed: pushed 
witch: witch 
hunt: hunt 
filled: filled 
destroy: destroy 
strove: strove 
hire: hire 
business: business 
almost: almost 
occasion: occasion 
ask: ask 
somebody: somebody 
affiliation: affiliation 
done: done 
care: care 
capability: capability 
quickly: quickly 
seriously: seriously 
integrity: integrity 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
look: look 
right: right 
citation: citation 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
original: original 
receive: receive 
story: stories 
shaped: shaped 
world: world 
assassinated: assassinated 
run: run 
presidency: presidency 
mcnamara: mcnamara 
executive: executive 
eighth: eighth 
defense: defense 
best: best 
helping: helping 
lead: lead 
war: war 
todd: todd 
lincoln: lincoln 
abraham: abraham 
byrd: byrd 
mugabe: mugabe 
prime: prime 
minister: minister 
zimbabwe: zimbabwe 
country: country 
forced: forced 
resignation: resignation 
durst: durst 
real: real 
estate: estate 
scion: scion 
notoriety: notoriety 
disappearance: disappearance 
wife: wife 
acquittal: acquittal 
murder: murders murder 
texas: texas 
charged: charged 
murdering: murdering 
friend: friend 
kardashian: kardashian 
helped: helped 
defend: defend 
simpson: simpson 
nicole: nicole 
brown: brown 
ron: ron 
goldman: goldman 
redford: redford 
actor: actor 
hollywood: hollywood 
legend: legend 
acclaimed: acclaimed 
film: films 
like: like 
sting: sting 
accomplished: accomplished 
producer: producer 
entrepreneur: entrepreneur 
started: started 
sundance: sundance 
institute: institute 
shapiro: shapiro 
representing: representing 
many: many 
client: clients 
notably: notably 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
