john: john 
also: also 
presidency: presidency 
november: november 
interview: interview 
chuck: chuck 
todd: todd 
nbc: nbc 
meet: meet 
press: press 
aired: aired 
january: january 
legitimate: legitimate 
russian: russians russian 
interference: interference 
election: election 
think: think 
participated: participated 
helping: helping 
destroy: destroy 
candidacy: candidacy 
hillary: hillary 
clinton: clinton 
inauguration: inauguration 
responded: responded 
twitter: twitter 
criticizing: criticizing 
tweeting: tweeting 
talk: talk 
result: results 
sad: sad 
elect: elect 
holiday: holiday 
prompted: prompted 
vocal: vocal 
icon: icon 
across: across 
medium: media 
democratic: democratic 
lawmaker: lawmakers 
boycotted: boycotted 
war: war 
word: words 
missed: missed 
lie: lie 
bush: bush 
hypocritical: hypocritical 
swearing: swearing 
sound: sound 
familiar: familiar 
spokeswoman: spokeswoman 
confirmed: confirmed 
george: george 
w: w 
absence: absence 
form: form 
dissent: dissent 
outcome: outcome 
controversy: controversies 
unprecedented: unprecedented 
intervention: intervention 
reflected: reflected 
fair: fair 
open: open 
process: process 
l: l 
r: r 
joachim: joachim 
prinz: prinz 
eugene: eugene 
carson: carson 
blake: blake 
floyd: floyd 
mckissick: mckissick 
matthew: matthew 
ahmann: ahmann 
kelley: kelley 
picture: picture 
collection: collection 
via: via 
getty: getty 
cancer: cancer 
diagnosis: diagnosis 
december: december 
announced: announced 
diagnosed: diagnosed 
stage: stage 
pancreatic: pancreatic 
although: although 
clear: clear 
eyed: eyed 
prognosis: prognosis 
felt: felt 
encouraged: encouraged 
medical: medical 
advancement: advancements 
type: type 
treatable: treatable 
case: cases 
intended: intended 
return: return 
soon: soon 
possible: possible 
passed: passed 
away: away 
blow: blow 
progress: progress 
occurred: occurred 
barack: barack 
obama: obama 
stated: stated 
addition: addition 
reached: reached 
younger: younger 
generation: generation 
series: series 
graphic: graphic 
novel: novels novel 
book: books book 
award: award awards 
third: third 
installment: installment 
three: three 
mark: marks 
honor: honor 
accepted: accepted 
co: co 
writer: writers writer 
andrew: andrew 
aydin: aydin 
illustrator: illustrator 
nate: nate 
powell: powell 
significance: significance 
emotional: emotional 
acceptance: acceptance 
rural: rural 
poor: poor 
remember: remember 
old: old 
public: public 
library: library 
card: cards 
told: told 
white: whites 
colored: coloreds 
receive: receive 
importance: importance 
wonderful: wonderful 
teacher: teacher 
elementary: elementary 
tried: tried 
honored: honored 
naacp: naacp 
spingarn: spingarn 
sole: sole 
f: f 
profile: profile 
achievement: achievement 
strive: strive 
accuracy: accuracy 
fairness: fairness 
look: look 
citation: citation 
information: information 
article: article articles 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
original: original 
published: published 
april: april 
story: stories 
shaped: shaped 
sign: sign 
person: person 
negotiated: negotiated 
nuclear: nuclear 
test: test 
ban: ban 
treaty: treaty 
initiated: initiated 
alliance: alliance 
assassinated: assassinated 
mccain: mccain 
vietnam: vietnam 
veteran: veteran 
arizona: arizona 
republican: republican 
nominee: nominee 
loss: loss 
jesse: jesse 
jackson: jackson 
minister: minister 
politician: politician 
twice: twice 
young: young 
activist: activist 
alongside: alongside 
mayor: mayor 
ambassador: ambassador 
nation: nations 
coltrane: coltrane 
acclaimed: acclaimed 
saxophonist: saxophonist 
bandleader: bandleader 
composer: composer 
becoming: becoming 
iconic: iconic 
figure: figure 
jazz: jazz 
century: century 
album: albums 
giant: giant 
step: steps 
favorite: favorite 
marshall: marshall 
fourth: fourth 
largely: largely 
responsible: responsible 
establishing: establishing 
role: role 
government: government 
barbara: barbara 
jordan: jordan 
congressional: congressional 
texas: texas 
congresswoman: congresswoman 
dickinson: dickinson 
statesman: statesman 
delegate: delegate 
continental: continental 
confederation: confederation 
militant: militant 
abolitionist: abolitionist 
raid: raid 
harper: harpers 
ferry: ferry 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
